lang,animal,bark,bird,black,breathe,w6,w7,w8,w9,w10,w11,w12,w13,w14
Dutch,1,3,4,1,2,3,3,2,1,2,3,1,1,2
Danish,1,1,4,1,5,3,3,2,1,4,3,1,1,2
Swedish,1,1,4,1,5,3,3,2,1,4,3,1,1,2
German,1,2,4,1,2,3,3,2,1,2,3,1,1,2
English,5,1,7,6,7,3,3,3,1,2,3,1,1,2
Slovenian,2,3,5,3,1,2,3,2,1,3,1,2,4,3
Russian,2,3,5,3,1,2,3,2,2,3,1,2,4,3
Polish,2,3,5,3,1,2,3,2,1,3,2,2,4,3
Czech,2,3,5,3,1,2,3,2,1,3,1,2,4,3
Greek,2,6,1,7,3,1,3,2,1,5,3,2,7,6
Kashmiri,3,7,3,2,4,2,2,3,1,7,3,2,5,4
Gujarati,3,4,3,2,4,2,2,1,1,3,5,4,5,7
Marathi,3,4,3,2,4,2,2,1,4,3,3,2,6,4
Hindi,3,4,3,2,4,2,2,1,1,3,3,2,5,4
Waziri,3,5,6,5,4,4,1,2,3,6,4,2,2,5
Portuguese,4,3,2,4,6,2,3,2,1,1,3,2,3,1
Spanish,4,3,2,4,6,2,3,2,1,1,3,2,3,1
Italian,4,3,2,4,6,2,3,2,1,1,3,2,3,1
French,4,3,2,4,6,2,3,2,1,1,3,2,3,1